Model,Level,Target,RMSE,MAE,Exact_Match_%,Weighted_Kappa
1. Naive LMM,Item,R_1_Dyspnea,0.5636879751924253,0.3767685697108744,72.8166245436675,0.6627576704619649
2. Ordinal / IRT,Item,R_1_Dyspnea,0.9580629773721268,0.7945067275558616,28.25049143499017,0.06490966635350925
3. Discrete AR(1),Item,R_1_Dyspnea,0.6881644638113997,0.46520161809876687,72.73237854535243,0.5945794587914699
5. LPMM Approximation,Item,R_1_Dyspnea,0.8579125149939152,0.6866534299699051,46.30721707385566,0.26140014264655875
1. Naive LMM,Item,R_2_Orthopnea,0.4355055064369804,0.24483838838464203,84.75147430497051,0.6910227452641374
2. Ordinal / IRT,Item,R_2_Orthopnea,0.7387514297862416,0.4967029097495654,73.77141252457174,0.15062399625174794
3. Discrete AR(1),Item,R_2_Orthopnea,0.5076057367293143,0.2707472641328469,84.80763830384723,0.61852088027845
5. LPMM Approximation,Item,R_2_Orthopnea,0.6488756446178374,0.3962734200606119,73.29401853411963,0.34423183165084636
1. Naive LMM,Item,R_3_Respiratory_Insufficiency,0.3198146374964182,0.15221425314884315,90.95759618084807,0.6638287713967935
2. Ordinal / IRT,Item,R_3_Respiratory_Insufficiency,0.525915709013836,0.27862263620954897,86.71721426565571,0.1524169511636253
3. Discrete AR(1),Item,R_3_Respiratory_Insufficiency,0.3411339560781443,0.1287930840115662,94.52401010951979,0.7261536318563886
5. LPMM Approximation,Item,R_3_Respiratory_Insufficiency,0.518480350041176,0.2681296438958201,85.79050828418984,0.17964852895843886
1. Naive LMM,Overall,Total Score,2.552272042562828,1.8468641429623953,,
2. Ordinal / IRT,Overall,Total Score,3.6117841398247115,2.679710880279748,,
3. Discrete AR(1),Overall,Total Score,4.116285955841093,3.251577149063645,,
5. LPMM Approximation,Overall,Total Score,2.4649188443866574,1.7960274219177432,,
1. Naive LMM,Domain,Bulbar,0.8409812792231418,0.5508406540699926,,
2. Ordinal / IRT,Domain,Bulbar,0.8968553920459769,0.5584048587709267,,
3. Discrete AR(1),Domain,Bulbar,1.01359535684965,0.7630030775268726,,
5. LPMM Approximation,Domain,Bulbar,2.312765402888106,1.7482649626487645,,
1. Naive LMM,Domain,Fine_Motor,0.9821059164462321,0.7261442957264296,,
2. Ordinal / IRT,Domain,Fine_Motor,1.0382648291665075,0.7857154879253592,,
3. Discrete AR(1),Domain,Fine_Motor,1.2557582926957025,0.9834085829042288,,
5. LPMM Approximation,Domain,Fine_Motor,2.0345240870364503,1.6175177887159549,,
1. Naive LMM,Domain,Gross_Motor,0.9709026675894312,0.7205943051540674,,
2. Ordinal / IRT,Domain,Gross_Motor,1.1057480443223453,0.8378571466038561,,
3. Discrete AR(1),Domain,Gross_Motor,1.2978219640367856,1.038896322608839,,
5. LPMM Approximation,Domain,Gross_Motor,2.1717514050155513,1.7859227203802162,,
1. Naive LMM,Domain,Respiratory,0.9884005146067459,0.6276337279433724,,
2. Ordinal / IRT,Domain,Respiratory,1.2003618840153667,0.7204883778785821,,
3. Discrete AR(1),Domain,Respiratory,1.2186841005583444,0.9059552301487508,,
5. LPMM Approximation,Domain,Respiratory,1.478214433131969,1.025323210437869,,
4a. CLOUD (Full),Item,Q1_Speech,0.3621396909413982,0.20515630116118916,83.27952029520294,0.8541030829820074
4a. CLOUD (Full),Item,Q2_Salivation,0.3897786124657435,0.2275041120607727,83.32564575645756,0.7973293104407664
4a. CLOUD (Full),Item,Q3_Swallowing,0.3445113727999628,0.18890989509532444,86.69280442804428,0.8316934729137103
4a. CLOUD (Full),Item,Q4_Handwriting,0.3871912403552369,0.23542629608314647,83.30258302583026,0.8405977797787502
4a. CLOUD (Full),Item,Q5_Cutting,0.2961514603049916,0.18531107351615825,89.64483394833948,0.9239183970999645
4a. CLOUD (Full),Item,Q6_Dressing_and_Hygiene,0.35012412806548043,0.2375614153943101,84.84778597785979,0.8693122231098845
